age;name;value
"0 0 år";"000 Hele landet";64511
"0 0 år";"100 København og Frederiksberg";8704
"0 0 år";"101 København";7390
"0 0 år";"147 Frederiksberg";1314
"0 0 år";"150 Københavns Amt";7225
"0 0 år";"165 Albertslund";320
"0 0 år";"151 Ballerup";501
"0 0 år";"153 Brøndby";385
"0 0 år";"155 Dragør";138
"0 0 år";"157 Gentofte";818
"0 0 år";"159 Gladsaxe";793
"0 0 år";"161 Glostrup";253
"0 0 år";"163 Herlev";283
"0 0 år";"167 Hvidovre";596
"0 0 år";"169 Høje Taastrup";633
"0 0 år";"183 Ishøj";281
"0 0 år";"171 Ledøje-Smørum";137
"0 0 år";"173 Lyngby-Taarbæk";569
"0 0 år";"175 Rødovre";414
"0 0 år";"181 Søllerød";361
"0 0 år";"185 Tårnby";420
"0 0 år";"187 Vallensbæk";128
"0 0 år";"189 Værløse";195
"0 0 år";"200 Frederiksborg Amt";4461
"0 0 år";"201 Allerød";310
"0 0 år";"205 Birkerød";279
"0 0 år";"207 Farum";216
"0 0 år";"208 Fredensborg-Humlebæk";220
"0 0 år";"209 Frederikssund";235
"0 0 år";"211 Frederiksværk";236
"0 0 år";"213 Græsted-Gilleleje";193
"0 0 år";"215 Helsinge";215
"0 0 år";"217 Helsingør";692
"0 0 år";"219 Hillerød";501
"0 0 år";"221 Hundested";85
"0 0 år";"223 Hørsholm";226
"0 0 år";"225 Jægerspris";96
"0 0 år";"227 Karlebo";236
"0 0 år";"229 Skibby";75
"0 0 år";"231 Skævinge";123
"0 0 år";"233 Slangerup";148
"0 0 år";"235 Stenløse";158
"0 0 år";"237 Ølstykke";217
"0 0 år";"250 Roskilde Amt";2890
"0 0 år";"251 Bramsnæs";116
"0 0 år";"253 Greve";526
"0 0 år";"255 Gundsø";230
"0 0 år";"257 Hvalsø";95
"0 0 år";"259 Køge";485
"0 0 år";"261 Lejre";111
"0 0 år";"263 Ramsø";114
"0 0 år";"265 Roskilde";612
"0 0 år";"267 Skovbo";192
"0 0 år";"269 Solrød";277
"0 0 år";"271 Vallø";132
"0 0 år";"300 Vestsjællands Amt";3561
"0 0 år";"301 Bjergsted";85
"0 0 år";"303 Dianalund";85
"0 0 år";"305 Dragsholm";142
"0 0 år";"307 Fuglebjerg";67
"0 0 år";"309 Gørlev";59
"0 0 år";"311 Hashøj";98
"0 0 år";"313 Haslev";193
"0 0 år";"315 Holbæk";421
"0 0 år";"317 Hvidebæk";86
"0 0 år";"319 Høng";94
"0 0 år";"321 Jernløse";69
"0 0 år";"323 Kalundborg";237
"0 0 år";"325 Korsør";242
"0 0 år";"327 Nykøbing-Rørvig";57
"0 0 år";"329 Ringsted";411
"0 0 år";"331 Skælskør";120
"0 0 år";"333 Slagelse";420
"0 0 år";"335 Sorø";200
"0 0 år";"337 Stenlille";73
"0 0 år";"339 Svinninge";69
"0 0 år";"341 Tornved";95
"0 0 år";"343 Trundholm";115
"0 0 år";"345 Tølløse";123
"0 0 år";"350 Storstrøms Amt";2555
"0 0 år";"351 Fakse";122
"0 0 år";"353 Fladså";98
"0 0 år";"355 Holeby";36
"0 0 år";"357 Holmegaard";100
"0 0 år";"359 Højreby";42
"0 0 år";"361 Langebæk";60
"0 0 år";"363 Maribo";95
"0 0 år";"365 Møn";116
"0 0 år";"367 Nakskov";144
"0 0 år";"369 Nykøbing-Falster";263
"0 0 år";"371 Nysted";41
"0 0 år";"373 Næstved";495
"0 0 år";"375 Nørre Alslev";95
"0 0 år";"377 Præstø";76
"0 0 år";"379 Ravnsborg";47
"0 0 år";"381 Rudbjerg";17
"0 0 år";"383 Rødby";44
"0 0 år";"385 Rønnede";65
"0 0 år";"387 Sakskøbing";65
"0 0 år";"389 Stevns";123
"0 0 år";"391 Stubbekøbing";54
"0 0 år";"393 Suså";96
"0 0 år";"395 Sydfalster";41
"0 0 år";"397 Vordingborg";220
"0 0 år";"400 Bornholm (excl. Christiansø)";360
"0 0 år";"401 Allinge-Gudhjem (- 2002)";0
"0 0 år";"403 Hasle (- 2002)";0
"0 0 år";"405 Nexø (- 2002)";0
"0 0 år";"407 Rønne (- 2002)";0
"0 0 år";"409 Aakirkeby (- 2002)";0
"0 0 år";"411 Christiansø (Uden for Kommuner)";0
"0 0 år";"420 Fyns Amt";5259
"0 0 år";"421 Assens";107
"0 0 år";"423 Bogense";67
"0 0 år";"425 Broby";53
"0 0 år";"427 Egebjerg";87
"0 0 år";"429 Ejby";118
"0 0 år";"431 Faaborg";130
"0 0 år";"433 Glamsbjerg";63
"0 0 år";"435 Gudme";83
"0 0 år";"437 Haarby";49
"0 0 år";"439 Kerteminde";85
"0 0 år";"441 Langeskov";71
"0 0 år";"443 Marstal (-2005/2006)";0
"0 0 år";"445 Middelfart";212
"0 0 år";"447 Munkebo";68
"0 0 år";"449 Nyborg";176
"0 0 år";"451 Nørre Aaby";57
"0 0 år";"461 Odense";2267
"0 0 år";"471 Otterup";127
"0 0 år";"473 Ringe";124
"0 0 år";"475 Rudkøbing";47
"0 0 år";"477 Ryslinge";75
"0 0 år";"479 Svendborg";438
"0 0 år";"481 Sydlangeland";32
"0 0 år";"483 Søndersø";145
"0 0 år";"485 Tommerup";111
"0 0 år";"487 Tranekær";29
"0 0 år";"489 Ullerslev";65
"0 0 år";"491 Vissenbjerg";69
"0 0 år";"492 Ærø (2005/2006-)";52
"0 0 år";"493 Ærøskøbing (-2005/2006)";0
"0 0 år";"495 Ørbæk";87
"0 0 år";"497 Årslev";99
"0 0 år";"499 Aarup";66
"0 0 år";"500 Sønderjyllands Amt";2699
"0 0 år";"501 Augustenborg";73
"0 0 år";"503 Bov";91
"0 0 år";"505 Bredebro";33
"0 0 år";"507 Broager";60
"0 0 år";"509 Christiansfeld";114
"0 0 år";"511 Gram";57
"0 0 år";"513 Gråsten";74
"0 0 år";"515 Haderslev";309
"0 0 år";"517 Højer";31
"0 0 år";"519 Lundtoft";72
"0 0 år";"521 Løgumkloster";64
"0 0 år";"523 Nordborg";148
"0 0 år";"525 Nørre Rangstrup";95
"0 0 år";"527 Rødding";139
"0 0 år";"529 Rødekro";153
"0 0 år";"531 Skærbæk";57
"0 0 år";"533 Sundeved";56
"0 0 år";"535 Sydals";59
"0 0 år";"537 Sønderborg";388
"0 0 år";"539 Tinglev";131
"0 0 år";"541 Tønder";121
"0 0 år";"543 Vojens";171
"0 0 år";"545 Aabenraa";203
"0 0 år";"550 Ribe Amt";2422
"0 0 år";"551 Billund";99
"0 0 år";"553 Blåbjerg";62
"0 0 år";"555 Blåvandshuk";53
"0 0 år";"557 Bramming";160
"0 0 år";"559 Brørup";90
